,Month,All Traded Marketplaces,Toronto Stock Exchange
0,2015-01-01,218979240778.0,123847617642.0
1,2015-02-01,195007664446.0,111148053391.0
2,2015-03-01,206135090423.0,121417946159.0
3,2015-04-01,185196087321.0,101683679899.0
4,2015-05-01,168062773412.0,93154874661.0
5,2015-06-01,192914544829.0,115209328271.0
6,2015-07-01,179646278625.0,100540157401.0
7,2015-08-01,177661123800.0,102068421345.0
8,2015-09-01,183859677563.0,111224970305.0
9,2015-10-01,195391714337.0,118623643789.0
10,2015-11-01,166963239740.0,96744460593.0
11,2015-12-01,187611189760.0,108636790649.0
12,2016-01-01,201103772945.0,114460341295.0
13,2016-02-01,206526436483.0,118160839755.0
14,2016-03-01,232115641788.0,132970411296.0
15,2016-04-01,205538649744.0,113292516461.0
16,2016-05-01,208917698510.0,113953661317.0
17,2016-06-01,237103982168.0,131810178731.0
18,2016-07-01,178295744403.0,96008464965.0
19,2016-08-01,191667847967.0,102825886811.0
20,2016-09-01,208773191049.0,114204828076.0
21,2016-10-01,193555512779.0,101874117632.0
22,2016-11-01,242239373933.0,130404615733.0
23,2016-12-01,214643920418.0,121869032383.0
24,2017-01-01,215392353034.0,114237769361.0
25,2017-02-01,235178104633.0,128386897332.0
26,2017-03-01,276361184576.0,153160969511.0
27,2017-04-01,219117422105.0,116014836653.0
28,2017-05-01,263720204458.0,139278045577.0
29,2017-06-01,250303915795.0,141263922572.0
30,2017-07-01,171241533374.0,90100318463.0
31,2017-08-01,188889623460.0,101482874724.0
32,2017-09-01,212452193899.0,116742549265.0
33,2017-10-01,203729006526.0,104581607368.0
34,2017-11-01,222190690969.0,117078467240.0
35,2017-12-01,211568185460.0,113936912869.0
36,2018-01-01,278862623794.0,148401135268.0
37,2018-02-01,259350709105.0,141426571710.0
38,2018-03-01,248286383419.0,138602837566.0
39,2018-04-01,213365273373.0,111919629268.0
40,2018-05-01,250418751277.0,134412717074.0
41,2018-06-01,249406514830.0,136264160947.0
42,2018-07-01,195296155674.0,104730346042.0
43,2018-08-01,234069387298.0,128304608155.0
44,2018-09-01,248902688156.0,139309396920.0
45,2018-10-01,318526284195.0,176636520430.0
46,2018-11-01,272889395128.0,149200496607.0
47,2018-12-01,270939661638.0,153087870289.0
48,2019-01-01,267164223684.0,146150869784.0
49,2019-02-01,245230500943.0,131679724114.0
50,2019-03-01,299934376759.0,176784247171.0
51,2019-04-01,249077114409.0,137386253213.0
52,2019-05-01,275060621599.0,152747773114.0
53,2019-06-01,231368009096.0,130585048656.0
54,2019-07-01,219981920365.0,117030812140.0
55,2019-08-01,243270291673.0,135168656260.0
56,2019-09-01,260301188622.0,149805047230.0
57,2019-10-01,236767349085.0,134146138105.0
58,2019-11-01,239376496245.0,134168886137.0
59,2019-12-01,244833129922.0,138856789631.0
60,2020-01-01,271699993399.0,151887772300.0
61,2020-02-01,306797336111.0,171368203293.0
62,2020-03-01,539614219802.0,313695282858.0
63,2020-04-01,336693250654.0,193975435758.0
64,2020-05-01,296012099948.0,174315440130.0
65,2020-06-01,342767123006.0,208455528252.0
66,2020-07-01,265940505216.0,157052304151.0
67,2020-08-01,251629830389.0,147100960038.0
68,2020-09-01,295647342603.0,179292156189.0
69,2020-10-01,265352332486.0,158989580048.0
70,2020-11-01,356301083606.0,207174476502.0
71,2020-12-01,335725141754.0,198423557509.0
72,2021-01-01,361788509029.0,199174346488.0
73,2021-02-01,404816575618.0,218768965012.0
74,2021-03-01,478535719185.0,280774820161.0
75,2021-04-01,330329501859.0,187865631136.0
76,2021-05-01,357763425487.0,203608307288.0
77,2021-06-01,372940330634.0,220387747477.0
78,2021-07-01,293689795376.0,166214111893.0
79,2021-08-01,298925635190.0,166732236509.0
80,2021-09-01,367545361366.0,217639784034.0
81,2021-10-01,333712111714.0,190476358445.0
82,2021-11-01,397614057066.0,229116390583.0
83,2021-12-01,368946763816.0,217438213494.0
84,2022-01-01,427367154828.0,241434933058.0
85,2022-02-01,390218911474.0,229479806901.0
86,2022-03-01,546389332767.0,326544926509.0
87,2022-04-01,390628947030.0,229518681939.0
88,2022-05-01,428872982572.0,257853585461.0
89,2022-06-01,422166478367.0,256203516442.0
90,2022-07-01,315921088777.0,190855443588.0
91,2022-08-01,344814882041.0,211337564136.0
92,2022-09-01,355213917371.0,222135737278.0
93,2022-10-01,334878679705.0,198074507760.0
94,2022-11-01,388632727757.0,231872404690.0
